Rank,Total_FPTS,Average_FPTS,Player,Team,Position
1,353.0,20.8,Ja'Marr Chase,CIN,WR
2,334.8,19.7,Bijan Robinson,ATL,RB
3,322.0,18.9,Justin Jefferson,MIN,WR
4,324.4,19.1,Saquon Barkley,PHI,RB
5,317.8,18.7,Jahmyr Gibbs,DET,RB
6,314.7,18.5,CeeDee Lamb,DAL,WR
7,321.1,18.9,Puka Nacua,LAR,WR
8,321.6,18.9,Christian McCaffrey,SF,RB
9,300.3,17.7,Ashton Jeanty,LV,RB
10,289.0,17.0,Amon-Ra St. Brown,DET,WR
11,299.8,17.6,Malik Nabers,NYG,WR
12,305.0,17.9,De'Von Achane,MIA,RB
13,296.6,17.4,Jonathan Taylor,IND,RB
14,277.7,16.3,Nico Collins,HOU,WR
15,280.9,16.5,Derrick Henry,BAL,RB
16,270.5,15.9,Brian Thomas Jr.,JAX,WR
17,275.3,16.2,A.J. Brown,PHI,WR
18,281.8,16.6,Josh Jacobs,GB,RB
19,281.5,16.6,Bucky Irving,TB,RB
20,257.1,15.1,Brock Bowers,LV,TE
21,278.9,16.4,Kyren Williams,LAR,RB
22,266.6,15.7,Drake London,ATL,WR
23,268.2,15.8,James Cook,BUF,RB
24,265.0,15.6,Tee Higgins,CIN,WR
25,261.8,15.4,Ladd McConkey,LAC,WR
26,259.5,15.3,Trey McBride,ARI,TE
27,255.0,15.0,Joe Mixon,HOU,RB
28,262.6,15.4,Tyreek Hill,MIA,WR
29,364.9,21.5,Josh Allen,BUF,QB
30,256.6,15.1,Davante Adams,LAR,WR
31,261.4,15.4,Chase Brown,CIN,RB
32,362.7,21.3,Lamar Jackson,BAL,QB
33,264.4,15.6,Kenneth Walker IIIQ,SEA,RB
34,367.1,21.6,Jayden Daniels,WSH,QB
35,247.7,14.6,Terry McLaurin,WSH,WR
36,233.0,13.7,Breece Hall,NYJ,RB
37,244.7,14.4,Jaxon Smith-Njigba,SEA,WR
38,240.1,14.1,Omarion Hampton,LAC,RB
39,250.8,14.8,Rashee Rice,KC,WR
40,363.6,21.4,Jalen Hurts,PHI,QB
41,237.8,14.0,DJ Moore,CHI,WR
42,240.2,14.1,Marvin Harrison Jr.,ARI,WR
43,238.7,14.0,Mike Evans,TB,WR
44,264.7,15.6,Alvin Kamara,NO,RB
45,240.9,14.2,Garrett Wilson,NYJ,WR
46,226.6,13.3,George Kittle,SF,TE
47,261.6,15.4,James Conner,ARI,RB
48,258.4,15.2,Chuba Hubbard,CAR,RB
49,229.5,13.5,Xavier Worthy,KC,WR
50,328.6,19.3,Joe Burrow,CIN,QB
51,219.2,12.9,RJ Harvey,DEN,RB
52,223.9,13.2,Quinshon Judkins,CLE,RB
53,240.1,14.1,DK Metcalf,PIT,WR
54,214.1,12.6,David Montgomery,DET,RB
55,227.6,13.4,Courtland Sutton,DEN,WR
56,190.7,11.2,Sam LaPorta,DET,TE
57,222.7,13.1,DeVonta Smith,PHI,WR
58,224.7,13.2,D'Andre Swift,CHI,RB
59,232.2,13.7,Zay Flowers,BAL,WR
60,219.4,12.9,George Pickens,DAL,WR
61,225.6,13.3,Jaylen Waddle,MIA,WR
62,219.7,12.9,Aaron Jones Sr.,MIN,RB
63,216.9,12.8,Rome Odunze,CHI,WR
64,219.3,12.9,Tony Pollard,TEN,RB
65,183.6,10.8,T.J. Hockenson,MIN,TE
66,230.1,13.5,Calvin Ridley,TEN,WR
67,217.3,12.8,Kaleb Johnson,PIT,RB
68,217.6,12.8,Jameson Williams,DET,WR
69,213.0,12.5,Travis Hunter,JAX,WR
70,206.0,12.1,TreVeyon Henderson,NE,RB
71,227.6,13.4,Jerry Jeudy,CLE,WR
72,212.4,12.5,Tetairoa McMillanQ,CAR,WR
73,171.9,10.1,Travis Kelce,KC,TE
74,322.9,19.0,Patrick Mahomes,KC,QB
75,205.3,12.1,Matthew Golden,GB,WR
76,208.8,12.3,Isiah Pacheco,KC,RB
77,205.7,12.1,Chris Olave,NO,WR
78,215.6,12.7,Jordan Addison,MIN,WR
79,211.5,12.4,Javonte Williams,DAL,RB
80,205.7,12.1,Cooper Kupp,SEA,WR
81,183.9,10.8,Rhamondre Stevenson,NE,RB
82,194.9,11.5,Jaylen Warren,PIT,RB
83,172.8,10.2,David Njoku,CLE,TE
84,209.6,12.3,Jauan Jennings,SF,WR
85,155.2,9.1,Cam Skattebo,NYG,RB
86,201.6,11.9,Deebo Samuel Sr.,WSH,WR
87,206.6,12.2,Khalil Shakir,BUF,WR
88,300.4,17.7,Bo Nix,DEN,QB
89,170.9,10.1,Mark Andrews,BAL,TE
90,197.1,11.6,Tyrone Tracy Jr.,NYG,RB
91,165.6,11.8,Stefon Diggs,NE,WR
92,190.8,14.7,Chris Godwin,TB,WR
93,309.1,18.2,Baker Mayfield,TB,QB
94,215.2,12.7,Jakobi Meyers,LV,WR
95,172.2,10.1,Austin Ekeler,WSH,RB
96,191.2,11.2,Keon Coleman,BUF,WR
97,200.6,11.8,Brian Robinson Jr.,WSH,RB
98,192.8,11.3,Ricky Pearsall,SF,WR
99,168.6,9.9,Evan Engram,DEN,TE
100,155.3,9.1,Travis Etienne Jr.,JAX,RB
101,183.1,10.8,Michael Pittman Jr.,IND,WR
102,112.9,6.6,Zach Charbonnet,SEA,RB
103,306.3,18.0,Kyler Murray,ARI,QB
104,181.1,10.7,Jayden Reed,GB,WR
105,148.0,8.7,Tyjae Spears,TEN,RB
106,306.9,18.1,Brock Purdy,SF,QB
107,170.5,10.0,Darnell Mooney,ATL,WR
108,129.5,7.6,Rachaad White,TB,RB
109,130.4,7.7,Tank Bigsby,JAX,RB
110,279.3,16.4,Caleb Williams,CHI,QB
111,166.1,9.8,Jayden Higgins,HOU,WR
112,135.0,7.9,Jonnu Smith,PIT,TE
113,118.1,6.9,Najee Harris,LAC,RB
114,63.7,3.7,Bhayshul Tuten,JAX,RB
