Rank,Players,Total_FPTS,Average_FPTS
1,Ja'Marr ChaseCinWR,353.0,20.8
2,Bijan RobinsonAtlRB,334.8,19.7
3,Justin JeffersonMinWR,322.0,18.9
4,Saquon BarkleyPhiRB,324.4,19.1
5,Jahmyr GibbsDetRB,317.8,18.7
6,CeeDee LambDalWR,314.7,18.5
7,Puka NacuaLARWR,321.1,18.9
8,Christian McCaffreySFRB,321.6,18.9
9,Ashton JeantyLVRB,300.3,17.7
10,Amon-Ra St. BrownDetWR,289.0,17.0
11,Malik NabersNYGWR,299.8,17.6
12,De'Von AchaneMiaRB,305.0,17.9
13,Jonathan TaylorIndRB,296.6,17.4
14,Nico CollinsHouWR,277.7,16.3
15,Derrick HenryBalRB,280.9,16.5
16,Brian Thomas Jr.JaxWR,270.5,15.9
17,A.J. BrownPhiWR,275.3,16.2
18,Josh JacobsGBRB,281.8,16.6
19,Bucky IrvingTBRB,281.5,16.6
20,Brock BowersLVTE,257.1,15.1
21,Kyren WilliamsLARRB,278.9,16.4
22,Drake LondonAtlWR,266.6,15.7
23,James CookBufRB,268.2,15.8
24,Tee HigginsCinWR,265.0,15.6
25,Ladd McConkeyLACWR,261.8,15.4
26,Trey McBrideAriTE,259.5,15.3
27,Joe MixonHouRB,255.0,15.0
28,Tyreek HillMiaWR,262.6,15.4
29,Josh AllenBufQB,364.9,21.5
30,Davante AdamsLARWR,256.6,15.1
31,Chase BrownCinRB,261.4,15.4
32,Lamar JacksonBalQB,362.7,21.3
33,Kenneth Walker IIIQSeaRB,264.4,15.6
34,Jayden DanielsWshQB,367.1,21.6
35,Terry McLaurinWshWR,247.7,14.6
36,Breece HallNYJRB,233.0,13.7
37,Jaxon Smith-NjigbaSeaWR,244.7,14.4
38,Omarion HamptonLACRB,240.1,14.1
39,Rashee RiceKCWR,250.8,14.8
40,Jalen HurtsPhiQB,363.6,21.4
41,DJ MooreChiWR,237.8,14.0
42,Marvin Harrison Jr.AriWR,240.2,14.1
43,Mike EvansTBWR,238.7,14.0
44,Alvin KamaraNORB,264.7,15.6
45,Garrett WilsonNYJWR,240.9,14.2
46,George KittleSFTE,226.6,13.3
47,James ConnerAriRB,261.6,15.4
48,Chuba HubbardCarRB,258.4,15.2
49,Xavier WorthyKCWR,229.5,13.5
50,Joe BurrowCinQB,328.6,19.3
51,RJ HarveyDenRB,219.2,12.9
52,Quinshon JudkinsCleRB,223.9,13.2
53,DK MetcalfPitWR,240.1,14.1
54,David MontgomeryDetRB,214.1,12.6
55,Courtland SuttonDenWR,227.6,13.4
56,Sam LaPortaDetTE,190.7,11.2
57,DeVonta SmithPhiWR,222.7,13.1
58,D'Andre SwiftChiRB,224.7,13.2
59,Zay FlowersBalWR,232.2,13.7
60,George PickensDalWR,219.4,12.9
61,Jaylen WaddleMiaWR,225.6,13.3
62,Aaron Jones Sr.MinRB,219.7,12.9
63,Rome OdunzeChiWR,216.9,12.8
64,Tony PollardTenRB,219.3,12.9
65,T.J. HockensonMinTE,183.6,10.8
66,Calvin RidleyTenWR,230.1,13.5
67,Kaleb JohnsonPitRB,217.3,12.8
68,Jameson WilliamsDetWR,217.6,12.8
69,Travis HunterJaxWR,213.0,12.5
70,TreVeyon HendersonNERB,206.0,12.1
71,Jerry JeudyCleWR,227.6,13.4
72,Tetairoa McMillanQCarWR,212.4,12.5
73,Travis KelceKCTE,171.9,10.1
74,Patrick MahomesKCQB,322.9,19.0
75,Matthew GoldenGBWR,205.3,12.1
76,Isiah PachecoKCRB,208.8,12.3
77,Chris OlaveNOWR,205.7,12.1
78,Jordan AddisonMinWR,215.6,12.7
79,Javonte WilliamsDalRB,211.5,12.4
80,Cooper KuppSeaWR,205.7,12.1
81,Rhamondre StevensonNERB,183.9,10.8
82,Jaylen WarrenPitRB,194.9,11.5
83,David NjokuCleTE,172.8,10.2
